0;150;210;390;260;230;330;360;58;240;180;130;260;350
150;0;120;300;250;250;450;490;180;360;310;210;280;370
210;120;0;200;190;190;440;540;240;420;360;320;360;510
390;300;200;0;180;220;530;660;420;630;550;510;530;650
260;250;190;180;0;60;300;490;260;460;400;370;520;600
230;250;190;220;60;0;260;460;230;430;370;340;480;560
330;450;440;530;300;260;0;260;290;380;390;440;590;660
360;490;540;660;490;460;260;0;340;210;230;340;540;610
58;180;240;420;260;230;290;340;0;210;150;180;300;380
240;360;420;630;460;430;380;210;210;0;80;190;370;410
180;310;360;550;400;370;390;230;150;80;0;130;300;380
130;210;320;510;370;340;440;340;180;190;130;0;190;270
260;280;360;530;520;480;590;540;300;370;300;190;0;170
350;370;510;650;600;560;660;610;380;410;380;270;170;0
